"Building","Date.of.Session","Name.of.Session","X..of.Hours","Possible.Hours","staff_id"
"Discovery",2015-08-24,"Skyward Training",2,4,"ea219f9950d152dbf5ea60987f12554f4a72272f91df8e5d94fd790800480588"
"Discovery",2015-10-01,"Google Site Training",2,2,"ea219f9950d152dbf5ea60987f12554f4a72272f91df8e5d94fd790800480588"
"Discovery",2016-02-17,"Google Sheets Training",2,2,"ea219f9950d152dbf5ea60987f12554f4a72272f91df8e5d94fd790800480588"
"DIscovery",2016-03-31,"Google Docs/Website Training",2,2,"402266c29b31cbfe124ea6f2faba44af6d69f3e80589adcbc350fc32d1f3f446"
"Discovery",2015-11-17,"ChromeBook Training",1,1,"40b044af014b71327f7ce48e54c9f576fa6c2427ddb21a42eeccb564cd420f50"
"Discovery",2016-03-01,"Google Sheets Training",2,2,"40b044af014b71327f7ce48e54c9f576fa6c2427ddb21a42eeccb564cd420f50"
"Hedden",2015-11-23,"ChromeBook Training",1,1,"15f4a25503ebbb4ffecda2eb96887bdf97ca3c6fe7c406b4e88cb51e55c90279"
"Hedden",2016-03-10,"Google Classroom",2,2,"15f4a25503ebbb4ffecda2eb96887bdf97ca3c6fe7c406b4e88cb51e55c90279"
"Endeavour",2015-08-17,"Google Email Training",2,4,"95c71ee2523b07d50d8ccdbda36fd397ebad763a637ffa19c3280f0750af5fec"
"Endeavour",2015-08-24,"Skyward Training",2,4,"95c71ee2523b07d50d8ccdbda36fd397ebad763a637ffa19c3280f0750af5fec"
"Endeavour",2015-08-17,"Google Email Training",2,4,"f3abb7a8576dd5b172f3f2b8181ff31ebc7207411c94542d353fc14b78199e2f"
"Endeavour",2015-08-24,"Skyward Training",2,4,"f3abb7a8576dd5b172f3f2b8181ff31ebc7207411c94542d353fc14b78199e2f"
"Endeavour",2015-09-15,"Tech/day open lab",2,3,"f3abb7a8576dd5b172f3f2b8181ff31ebc7207411c94542d353fc14b78199e2f"
"Endeavour",2016-02-17,"Google Sheets Training",2,2,"f3abb7a8576dd5b172f3f2b8181ff31ebc7207411c94542d353fc14b78199e2f"
"ESC",2015-10-01,"Google Site Training",2,2,"d8dd218017649927c4a8a0ad7bf58fa6a621d062ca8dd954aa043517f255a0a7"
"ESC",2016-03-01,"Google Sheets Training",2,2,"d8dd218017649927c4a8a0ad7bf58fa6a621d062ca8dd954aa043517f255a0a7"
"ESC",2016-03-10,"Google Classroom",1,2,"d8dd218017649927c4a8a0ad7bf58fa6a621d062ca8dd954aa043517f255a0a7"
"Endeavour",2016-03-01,"Google Sheets Training",2,2,"0c0717b47677f35cfcdda6946386c8cf5d78e7e5874fcb46967b655d77476237"
"Endeavour",2016-03-10,"Google Classroom",2,2,"0c0717b47677f35cfcdda6946386c8cf5d78e7e5874fcb46967b655d77476237"
"FHS",2015-08-24,"Skyward Training",2,4,"9e30f21cd0a774da5a12a732b829e54d84bafbcaa4507e2427aea862324927ec"
"FHS",2015-10-01,"Google Site Training",2,2,"9e30f21cd0a774da5a12a732b829e54d84bafbcaa4507e2427aea862324927ec"
"Endeavour",2015-09-22,"LAP/Title Elem Skyward",1,1,"460e63a6f0f757c1f7486768d22399d087077db0a8f25080a69898b41b88bdec"
"Endeavour",2015-10-01,"Google Site Training",2,2,"460e63a6f0f757c1f7486768d22399d087077db0a8f25080a69898b41b88bdec"
"Endeavour",2016-03-01,"Google Sheets Training",2,2,"460e63a6f0f757c1f7486768d22399d087077db0a8f25080a69898b41b88bdec"
"FHS",2015-08-24,"Skyward Training",2,4,"534455d548ffcf3bf600a2f1c1536d7c6001a84fad3fb2d63e38925bbdbc4984"
"FHS",2016-03-15,"Google Classroom",2,2,"534455d548ffcf3bf600a2f1c1536d7c6001a84fad3fb2d63e38925bbdbc4984"
