"Building","Date.of.Session","Name.of.Session","X..of.Hours","Possible.Hours","staff_id"
"FHS",2015-08-24,"Skyward Training",2,4,"cbb0e5fea7cc8220ad78e5051ae23f81f08a9717cb4f46c76d856ed13020d12f"
"FHS",2015-09-01,"Tech/day open lab",3,10,"cbb0e5fea7cc8220ad78e5051ae23f81f08a9717cb4f46c76d856ed13020d12f"
"Hedden",2015-09-22,"LAP/Title Elem Skyward",1,1,"1b38424619c35fd27a5e7f217774cbd1657dd95bc17df5692d0f621982da24cb"
"Hedden",2015-10-01,"Google Site Training",2,2,"1b38424619c35fd27a5e7f217774cbd1657dd95bc17df5692d0f621982da24cb"
"Hedden",2015-08-24,"Skyward Training",2,4,"97e344b1084b36d322bcc4fcf3f8933ccc2254254c6aeb843f8f9c4e1957b4df"
"Hedden",2015-11-23,"ChromeBook Training",1,1,"97e344b1084b36d322bcc4fcf3f8933ccc2254254c6aeb843f8f9c4e1957b4df"
"Hedden",2016-02-17,"Google Sheets Training",1.5,2,"97e344b1084b36d322bcc4fcf3f8933ccc2254254c6aeb843f8f9c4e1957b4df"
"Hedden",2016-03-10,"Google Classroom",2,2,"97e344b1084b36d322bcc4fcf3f8933ccc2254254c6aeb843f8f9c4e1957b4df"
"Endeavour",2015-09-15,"Tech/day open lab",1.3,3,"b6a9b3e82f826712d492ee9e2c833b670ef57d62212cadad97daa7af71eadbbc"
"Endeavour",2015-09-24,"Google Drive Intro",2,2,"b6a9b3e82f826712d492ee9e2c833b670ef57d62212cadad97daa7af71eadbbc"
"CJH",2015-08-24,"Skyward Training",2,4,"e5af43e24d9bb50eca21cf866696ea2b04e03ac60c6d222a22fa8e1c1358a047"
"CJH",2015-09-01,"Tech/day open lab",3,10,"e5af43e24d9bb50eca21cf866696ea2b04e03ac60c6d222a22fa8e1c1358a047"
"SLMS",2015-09-24,"Google Drive Intro",2,2,"b6b6780aae8237b8bff46eac6a8538de6c27122ff960dd3c85865a9dff94a27f"
"Endeavour",2015-08-17,"Google Email Training",2,4,"eb8b2f8cfd6ef5e4fd2b89bfb6fe85f2e1f29e5dee17e84fe3ababe3c47049a6"
"Endeavour",2015-08-24,"Skyward Training",2,4,"eb8b2f8cfd6ef5e4fd2b89bfb6fe85f2e1f29e5dee17e84fe3ababe3c47049a6"
"CJH",2015-09-15,"Tech/day open lab",0.3,3,"375da87ba2f68e9c97cf5faaa61f52ded7e9677390fa39b5b416b80d0e70fa93"
"CJH",2015-08-24,"Skyward Training",2,4,"14504cc2743280296a9d38d5430d54bbfda9c9a9412b613e521fc2adfb9ba37d"
"CJH",2015-09-15,"Tech/day open lab",0.4,3,"14504cc2743280296a9d38d5430d54bbfda9c9a9412b613e521fc2adfb9ba37d"
"Hedden",2015-09-24,"Google Drive Intro",2,2,"9f1d2b90ef35b1daf22adb0680a41119a07ad5db86292fb8b0428b219abe89ee"
"Hedden",2015-10-01,"Google Site Training",2,2,"9f1d2b90ef35b1daf22adb0680a41119a07ad5db86292fb8b0428b219abe89ee"
"Hedden",2015-09-22,"LAP/Title Elem Skyward",1,1,"f5453e9828e0655bc5609539668094a9583767838111a6dac6f60afc880b318b"
"Hedden",2015-10-01,"Google Site Training",2,2,"f5453e9828e0655bc5609539668094a9583767838111a6dac6f60afc880b318b"
"Discovery",2015-11-17,"ChromeBook Training",1,1,"d3709080e0605f6afbc10ad2665dcf5c21c0378de447dd8bf28de29077340160"
"Discovery",2016-02-17,"Google Sheets Training",2,2,"d3709080e0605f6afbc10ad2665dcf5c21c0378de447dd8bf28de29077340160"
"Endeavour",2015-10-05,"Open Lab Training",1,3,"a0f9186dd971f307ef056b83ed9dd42a5d69f84d5b0f4a3abec553356ecf10ce"
"Discovery",2015-09-22,"LAP/Title Elem Skyward",0.4,1,"067590480b84591460e0613960cd6f929ee3111e9328b4dfbe8279c3147e4709"
"Endeavour",2015-10-05,"Open Lab Training",1,3,"ecfc87001d4dcedfb332be4dec5719a973f46406573cc1facd20e1697b91b89e"
"Discovery",2015-09-24,"Google Drive Intro",2,2,"a3b505777ffba94e9ca213f97675f7e292ebdfb1128330046bd7232bc07da14d"
"Discovery",2016-02-18,"Google Sheets Training",2,2,"a3b505777ffba94e9ca213f97675f7e292ebdfb1128330046bd7232bc07da14d"
"DIscovery",2016-03-31,"Google Docs/Website Training",2,2,"a3b505777ffba94e9ca213f97675f7e292ebdfb1128330046bd7232bc07da14d"
"SLMS",2016-02-23,"Counselor Training",1,1,"e8f4b2e0364c197606ca1046e04e78c124e34c3a218aee50f16e03d0bad4fbaa"
"SLMS",2015-08-26,"SLMS Skyward Class (J. Garrett)",4,8,"37defe7d7ffd14b084bf9c2f48a4422475f6d9ef97d249932b84f9402f43eaf5"
"Hedden",2016-02-17,"Google Sheets Training",2,2,"37defe7d7ffd14b084bf9c2f48a4422475f6d9ef97d249932b84f9402f43eaf5"
"FHS",2015-08-17,"Google Email Training",2,4,"9d0cd82683957e21a48a3c9360e54c545fe6acbc2d557dd78c1108428e99d361"
"SLMS",2015-08-24,"Skyward Training",2,4,"8d94a76ffa11d40293529fca984344097e2caa79a81e9c4d529317cc067b25b8"
"SLMS",2015-08-26,"SLMS Skyward Class (J. Garrett)",4,8,"8d94a76ffa11d40293529fca984344097e2caa79a81e9c4d529317cc067b25b8"
"SLMS",2016-03-01,"Google Sheets Training",1,2,"8d94a76ffa11d40293529fca984344097e2caa79a81e9c4d529317cc067b25b8"
"SLMS",2015-09-15,"Tech/day open lab",0.3,3,"a265957220d8e6a9dbdd4cc1ebbfa4a1e423d424e7f7ac7cdd8a43027763fece"
